Source,Target,Type,Weight
2,4,directed ,1
2,37,directed ,1
3,5,directed ,1
3,15,directed ,1
4,37,directed ,1
11,37,directed ,1
25,39,directed ,1
26,37,directed ,1
34,37,directed ,1
35,5,directed ,1
35,39,directed ,1
1,2,undirected ,1
1,3,undirected ,1
1,4,undirected ,1
5,6,undirected ,1
5,7,undirected ,1
5,8,undirected ,1
5,9,undirected ,1
5,10,undirected ,1
5,11,undirected ,1
5,12,undirected ,1
5,13,undirected ,1
5,14,undirected ,1
15,16,undirected ,1
15,17,undirected ,1
15,18,undirected ,1
15,19,undirected ,1
15,20,undirected ,1
15,21,undirected ,1
15,22,undirected ,1
15,23,undirected ,1
15,24,undirected ,1
15,25,undirected ,1
15,26,undirected ,1
15,27,undirected ,1
15,28,undirected ,1
15,29,undirected ,1
30,31,undirected ,1
30,32,undirected ,1
30,33,undirected ,1
30,34,undirected ,1
30,35,undirected ,1
36,37,undirected ,1
36,38,undirected ,1
39,40,undirected ,1
39,41,undirected ,1
